topic,question_id,case_study,question,a,b,c,d,e,f,g,h,i,j,k,l
Management context,2.4.7.4.,Free,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,b,NA,NA,NA,NA,NA,h,i,NA,NA,NA
Management context,2.4.7.5.,Free,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Free,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,c,d,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Free,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,f,g,h,NA,NA,NA,NA
Management context,2.4.8.1.,Free,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Free,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Free,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Free,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Free,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Free,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Free,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Free,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Free,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Free,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Free,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Free,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Free,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Friedman,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Friedman,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,NA,d,e,f,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Friedman,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Friedman,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Friedman,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race, or sexual orientation?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Friedman,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Friedman,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Friedman,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Friedman,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,f,NA,h,NA,NA,NA,NA
Management context,2.4.7.5.,Friedman,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Friedman,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Friedman,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Friedman,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Friedman,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Friedman,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Friedman,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Friedman,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Friedman,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Friedman,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Friedman,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Friedman,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Friedman,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Friedman,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Friedman,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Friedman,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Golden,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Golden,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",NA,NA,NA,d,e,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Golden,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Golden,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Golden,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Golden,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Golden,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.3.,Golden,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Golden,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Golden,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Golden,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Golden,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Golden,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Golden,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Golden,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Golden,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Golden,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Golden,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Golden,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Golden,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Golden,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Golden,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Golden,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Golden,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Golden,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Hollowed,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Hollowed,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Hollowed,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Hollowed,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Hollowed,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Hollowed,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Hollowed,Providing scientific information,a,b,c,NA,e,NA,NA,h,i,NA,NA,NA
Management context,2.4.7.2.,Hollowed,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Hollowed,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Hollowed,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,b,NA,d,NA,NA,g,h,NA,NA,NA,NA
Management context,2.4.7.5.,Hollowed,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Hollowed,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,c,d,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Hollowed,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,c,d,NA,f,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Hollowed,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Hollowed,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Hollowed,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Hollowed,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Hollowed,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Hollowed,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Hollowed,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Hollowed,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Hollowed,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Hollowed,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Hollowed,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Hollowed,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Hollowed,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Kisara,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Kisara,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Kisara,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Kisara,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Kisara,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Kisara,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Kisara,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Kisara,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Kisara,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Kisara,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Kisara,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Kisara,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Kisara,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Kisara,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Kisara,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Kisara,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
