filename,authors,dimension,domain,attribute,score,score_desc,dont_know,not_relevant,quality,importance,mech_apply_yn,mech_apply_notes,notes,case_study
Free_Dungeness_crab.xlsx,Free,Socio-economic,Flexibility,Resilience mindset,3,"Fishers are extremely interested in maintaining their livelihoods and hustle to overcome hurdles. 
",NA,NA,D - not confident that the answer provided reflects the true state of the system,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Flexibility,Place attachment,3,Fishers have exhibited high fidelity to home port which likely reflects an attachment to a place (Fisher et al. 2021).,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,no,Place attachment could encourage fisher to lobby for their own interests but it prevents fishers from adapting by moving spatially.,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Organization,Social capital,3,"The commercial and recreational fishing industry has high representation on management advisory bodies, has coalesced to form a number of industry associations, and has acted together to voice collective concerns and preferences and taken collective actions.",NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Organization,Technology transfer,2,"There are many rules regulating Dungeness crab fishing gear and this limits the opportunities for technological innovation. Although there is enormous interest amongst managers to develop ropeless gear technologies, the fleet indicates that this is likely to be unviable.",NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Organization,Modular infrastructure,2,I don't really know,NA,NA,D - not confident that the answer provided reflects the true state of the system,low,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Learning,Knowledge diversity,3,I believe fishers are clever and effective in how they derive knowledge. Management certainly draws on diverse knowledge sources from multiple types of informations and multiple types of stakeholders.,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,Responses to 2.4.2.1 and 2.4.8.1 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Learning,Knowledge access,3,The agencies that make management decisions and the institutions that advise these agencies do provide public information and transparent decisions though the pathways could be improved. The results of domoic acid testing are published publicly and the decisions regarding this testing are communicated transparently to fishers. The data used in assessing whale entanglement risk are and the interpretations of this data are published publicly. Management procedures and regulations are open for public comment.,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Learning,Learning capacity,4,"Many fishers have spent decades on the water and have extremely high learning capacity from this experience and the experience of their colleagues. Many scientific, government, and environmental organizations work to ensure that scientific information is also accessible to fishers, though this is a process that could, of course, be improved.",NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Socio-economic,Agency,Agency,3,Fishers have exhibited a diverse array of behaviours in response to disasters and to their unique geography (Fisher et al. 2021). This likely reflects high agency to act and adapt.,NA,NA,D - not confident that the answer provided reflects the true state of the system,medium,yes,NA,"Responses to 2.3.4.1, 2.3.6.1, and 2.3.7.1 may be informative in shaping the response to this attribute.",California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Flexibility,Responsive,2,There is a flurry of activity to make management more responsive but the responsive tools being considered are draconian and would likely close the fishery every year.,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,Responses in S5 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Participatory,3,"There are huge efforts to integrate the commercial and recreational fishing industry in management and to engage them in regulations and feedback. While well-intended, this in itself does not guarantee equitable impacts of management decisions.",NA,NA,A - adequate and reliable data/information,high,yes,NA,Responses to 2.3.3.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Equitable and inclusive,3,There are huge efforts to integrate the commercial and recreational fishing industry in management and to engage them in regulations and feedback. The are also efforts to make these efforts equitable and inclusive although their success has not been evaluated.,NA,NA,B - limited data/information and expert judgement,high,yes,NA,Response to 4.3.1.3 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Accountable,4,The U.S. and California have strict legislative mandates regarding fisheries management and management agencies are highly accountable for following these rules.,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Transparent,3,Management decisions are transparent although efforts to better communicate the reasons behind these decisions to increase trustworthiness and confidence are essential.,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Effective and efficient,2,"The management of Dungeness crab productivity has been highly effective and efficient. However, the management of domoic acid risk, while effective at preventing public health risk, has not been efficient in limiting impacts on fishing fleets. The management of whale entanglement risk has neither been effective nor efficient.",NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Polycentric,4,Members of the commercial and recreational fishing fleets are on the advisory groups that advise the management agency on regulations and whale entanglement risk.,NA,NA,A - adequate and reliable data/information,high,yes,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Organization,Cross-scale integration,4,"There are attempts at integrating efforts between management agencies, advisory groups, fisheries associations, non-governmental organizations, and academia, though they are imperfect.",NA,NA,A - adequate and reliable data/information,high,yes,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Learning,Adaptive,2,There is a flurry of activity to make management more adaptive but the adaptive tools being considered are draconian and would likely close the fishery every year.,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,Responses in S5 may be informative in shaping the response to this attribute.,California Dungeness crab
Free_Dungeness_crab.xlsx,Free,Governance,Agency,Leadership and initiative,4,There are mandates that dictate the state’s management leadership. The fishing industry has organized into associations with leaders to represent industry interests. The are non-governmental and quasi-governmental organizations attempting to lead interventions in the fishery that benefit whales and fishers alike.,NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,California Dungeness crab
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Assets,Population abundance,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,NA,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Assets,Age structure,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"The ecopath modeling suggests that a truncation of the lobster population might be ocuring, as a result of fishery selectivity. 
Still a healthy system though",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Assets,Genetic diversity,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,NA,NA,"due to the endemic nature of many species in the JF system, likely minimal mixing of genetic material.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Assets,Species diversity,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,Overall diversity is high relative to other temperate systems. Evidence from report on diversity of species in JF. Look at EwE for drawing of food web.,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Adult mobility,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,yes,NA,NA,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Larval dispersal,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,"Target species have open reproductivity strategies, with different/ varying lengths of larval development, so the targets can easily disperse outside of the JF system and are received from outside of the JF system.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Environmental niche breadth,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"Several of the target species are endemic to the system. Due to the nature of the system, offshore islands, it would be difficult for these dermsal species to adapt to large shifts in the system.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Dietary flexibility,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,NA,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Habitat diversity,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,"Since this is an island system, the habitats that are present are limited to the historic ones, except for the shift that might be ocuring with increase prescence of urchins.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Plasticity,2,NA,NA,NA,B - limited data/information and expert judgement,low,NA,NA,"The species have likely not exhibited any characteristics of plasticity. Though some of the targets can be generalist in feeding behaviors, so that is a biological characteristic that can contribute to changes in behavior - if needed.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Flexibility,Evolutionary potential,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,no,NA,"Due to the endemic nature of target species, if shifts happen fast, the species may not be able to adapt to the new regime.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Organization,Ecosystem connectivity,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"Critical habitats are connected in the shallow system. Otherwise, large and deep bodies of water between individual islands. Within individual islands, ecosystems are fairly connected.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Ecological,Organization,Population modularity,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,How does the endemic and isolated population structure play into this? Our thinking is that since there is moderate connectivity of habitats then in areas with more connected habitats there will be less modularity and vice versa.,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Assets,Wealth and reserves,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"High levels of natural, human, and social capital, but lower levels of manufactured capital. There are PhD fishermen on the island--high levels of education and understanding of the ecosystem, but yet they don't have reliable wifi or cell service on the island (they could probably have this, but may be by design self-isolated to some degree).",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Assets,Economic diversity,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,Responses to 2.2.3.7 and 2.2.3.10 may be informative in shaping the response to this attribute.,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Assets,Social diversity,3,NA,NA,NA,D - not confident that the answer provided reflects the true state of the system,medium,yes,NA,NA,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Flexibility,Flexible and agile infrstructure,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"They are in the process of building infrastructure to add value to the fishery: building a processing plant to be able to fish and process new species; get higher prices on the mainland, so this may increase their flexibility and agility.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Flexibility,Mobility,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"Fishing on the narrow shelf of the island with small vessels, so not a lot of ability/technology to move to offshore deep-water fishing. Also limited because there aren't a lot of options for other occupations (maybe some to tourism).",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Flexibility,Economic opportunity,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,Have the ability to access subsidies to leave the islands (cheaper flights--could allow them to access education and other job opportunities on the mainland),Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Flexibility,Resilience mindset,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"They realize that they have to have an administration plan for the MPA that is congruent with the FMP, and that management of the island is at a systems level including climate impacts. They, similar to Hawaii, understand the ridge to reef concept and think at this level about problems.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Flexibility,Place attachment,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,NA,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Organization,Social capital,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,Community puts a very high value on their island heritage (island-wide holidays based on their first fishing traditions: 1st lobster trap setting); they have their own flag,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Organization,Technology transfer,2,NA,NA,NA,D - not confident that the answer provided reflects the true state of the system,low,NA,NA,"No reliable mobile/cloud technology. They are well-educated, but limited in technological capacity.
Between 2 and 3--some access to modeling capacity via Billy Ernst and U of Concepcion and EDF",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Organization,Modular infrastructure,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,NA,NA,"The islands can't really support a lot of built infrastructure due to geology and to the fact that the islands are inside a national park. There's good protection of the natural components in the system. They have planted trees to help protect the town from erosion (from tsunamis, etc.). They also changed the building codes to not allow building in low lying areas.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Learning,Knowledge diversity,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,Responses to 2.4.2.1 and 2.4.8.1 may be informative in shaping the response to this attribute.,Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Learning,Knowledge access,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"Very data-limited fishery, but almost anyone can access the data collected by the monitoring team at U of Conception is available upon request.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Learning,Learning capacity,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"They are great at training themselves and seeking out knowledge. Ability to get education off the islands, which is something that the younger generations took advantage off widely up until recently. The current generation tends to want to keep their children on island for education through at least grade school. Some students are doing remote learning for high school (even outside the pandemic), but may not be as rigorous as in person high school.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Socio-economic,Agency,Agency,3,NA,NA,NA,D - not confident that the answer provided reflects the true state of the system,high,yes,NA,"Responses to 2.3.4.1, 2.3.6.1, and 2.3.7.1 may be informative in shaping the response to this attribute. 
Not a lot of individual agency, but there's a lot of collective agency. There is a high value on sustainability and they are protective of their resources--they are quick to block outsiders or individuals who don't align with the collective thinking/good.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Flexibility,Responsive,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"Responses in S5 may be informative in shaping the response to this attribute. 
In order to reach high responsiveness there would need to be a more comprehensive monitoring system in place. People wanted a large MPA and they pushed to create one of the largest in the world.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Participatory,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"Responses to 2.3.3.1 and 2.3.4.1 may be informative in shaping the response to this attribute. 
But not for women",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Equitable and inclusive,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"Response to 4.3.1.3 may be informative in shaping the response to this attribute. 
Equitability (especially in terms of allowing younger fishers access) is something that has been prioritized. But perhaps not as much equity for women--most fishers are men and women are not profitting from the fishery.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Accountable,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"High for local level decision makers because of tight knit community, but probably moderate for regional and national levels. This more bottom up approach is very different from mainland Chile. Higher accountability within the JF Islands, higher than what the nat government would hold them to",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Transparent,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"High for local level decision makers because of tight knit community, but probably moderate for regional and national levels. This more bottom up approach is very different from mainland Chile",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Effective and efficient,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"It's definitely effective and efficient from a governance perspective, but there's a lack of investment in terms of actual dollars.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Polycentric,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,"Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.
Well nested scales, but JF fishers will 'rebel' if they don't agree with interventions from national/regional governing body.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Organization,Cross-scale integration,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute. Need to do better at incorporating ridge to reef considerations for enhanced resiliency. 
No wastewater treatment--important for health of fisheries",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Learning,Adaptive,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"Responses in S5 may be informative in shaping the response to this attribute. 
Once we've completed the FISHE process for this fishery it should help to improve the iterative and adaptive management process on a year to year basis.Easily understand need for adaptive management and will make changes, but might not have stock assessment or other tools/info for making changes. Also more invested in lobster than other species. They are working to change this.",Juan Fernandez Islands
Kleisner_Cunningham_JuanFernandez_Case Study Template.xlsx,Kleisner/Cunningham,Governance,Agency,Leadership and initiative,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"High for local level decision makers because of tight knit community, but probably moderate for regional and national levels.",Juan Fernandez Islands
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Assets,Population abundance,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Assets,Age structure,2,NA,Don't know,NA,B - limited data/information and expert judgement,low,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Assets,Genetic diversity,NA,NA,Don't know,NA,D - not confident that the answer provided reflects the true state of the system,NA,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Assets,Species diversity,3,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Adult mobility,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Larval dispersal,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"This is a difficult question to quantify without further information on what 'degree' means. It is likely in this location that dispersal can be several km up to several 10s of kms, based on nearby reef habitat. However, no work has been done on this question",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Environmental niche breadth,NA,NA,Don't know,NA,E - No data,NA,NA,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Dietary flexibility,NA,NA,NA,NA,E - No data,NA,NA,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Habitat diversity,3,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,"There is some limited mangrove and seagrass habitat around Karkar, but the majority of habitat is coral reef limiting seasonal or diurnal migrations and connectivity",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Plasticity,2,NA,NA,NA,D - not confident that the answer provided reflects the true state of the system,low,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Flexibility,Evolutionary potential,NA,NA,Don't know,NA,E - No data,NA,NA,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Organization,Ecosystem connectivity,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,"The Karkar seascape is a continuous ring of fringing reef around the island, which are well connected. However, these reefs are seperated by deep-water from other reef habitats (e.g., on the Papua New Guinea mainland or Bagabag island), making it unlikely reef fishery species will move between these areas.",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Ecological,Organization,Population modularity,1,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,no,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Assets,Wealth and reserves,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,Response to 2.2.3.1 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Assets,Economic diversity,2,NA,NA,NA,B - limited data/information and expert judgement,high,yes,NA,Responses to 2.2.3.7 and 2.2.3.10 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Assets,Social diversity,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,Clan diversity maps on to sea tenure rights.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Flexibility,Flexible and agile infrstructure,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,"Infrastructure is limited and low-cost but therefore flexible (because low cost to build, e.g., houses). However, this also makes the infrastructure more vulnerable. E.g., clean water and sanitation is not accessible to everyone in these communities.",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Flexibility,Mobility,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Flexibility,Economic opportunity,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Flexibility,Resilience mindset,2,NA,NA,NA,B - limited data/information and expert judgement,high,yes,NA,"Resilience mindset in the short-term, but not over longer time periods. Thus, important attribute in conferring resilience to perceptible changes in fishery, but not longer term trends.",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Flexibility,Place attachment,4,NA,NA,NA,A - adequate and reliable data/information,high,no,"Attachment to place seems to connect to a sense of ownerhsip and responsibility (environmental stewardship), which is an important aspect of the adaptive management system.",NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Organization,Social capital,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,"Cinner, J. E. et al. Sixteen years of social and ecological dynamics reveal challenges and opportunities for adaptive management in sustaining the commons. 116, (2019). - finds biomass buffered by customary closures, but overall decline.",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Organization,Technology transfer,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Organization,Modular infrastructure,2,NA,NA,NA,B - limited data/information and expert judgement,medium,no,"This mechanism works in a way - infrastructure is fairly flexible, because there is very little infrastructure and it's very simple... but that means a lack of services in the community (e.g. sanitation and running water).",NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Learning,Knowledge diversity,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,Responses to 2.4.2.1 and 2.4.8.1 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Learning,Knowledge access,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Learning,Learning capacity,3,NA,NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Socio-economic,Agency,Agency,3,NA,NA,NA,B - limited data/information and expert judgement,high,yes,NA,"Responses to 2.3.4.1, 2.3.6.1, and 2.3.7.1 may be informative in shaping the response to this attribute.",Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Flexibility,Responsive,4,NA,NA,NA,A - adequate and reliable data/information,medium,yes,NA,Responses in S5 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Participatory,3,NA,NA,NA,B - limited data/information and expert judgement,high,yes,NA,Responses to 2.3.3.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Equitable and inclusive,3,NA,NA,NA,B - limited data/information and expert judgement,medium,no,NA,Response to 4.3.1.3 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Accountable,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Transparent,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Effective and efficient,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Polycentric,2,NA,NA,NA,B - limited data/information and expert judgement,low,yes,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Madang reef fish
Lau_PNG_Madang_Reef_Case Study Template.xlsx,Lau,Governance,Organization,Cross-scale integration,2,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Madang reef fish
